udid,install_date,lang,country,hw_ver,os_ver
a40c09bbda9f472bbbfb732261aaffa8,3/1/2016,fr,CA,"iPhone7,2",9.2.1
7f1d24a0f3df410cbb361b9070d64b0c,3/1/2016,en,US,"iPhone7,2",9.2
b6ca698a78b046adb80e2f463f4faab0,3/1/2016,en,US,"iPhone5,3",9.2
608008d1a11c48f28bdd69f3c93de704,3/1/2016,en,US,"iPhone7,2",9.2.1
d8d341dd45cf44b99bd5de7cb90eaab8,3/1/2016,en,US,"iPhone8,1",9.1
d3370f87d4fb42f986b4e773c8e0d25d,3/1/2016,en,US,"iPhone8,2",9.2.1
86fc46c3a7cd413393bf5c12e0251881,3/1/2016,en,BG,"iPhone7,2",9.1
e1ba6570135249d9bfb64c211e3e4bc6,3/2/2016,id,ID,"iPhone6,1",9.2
c3860fec72694c97a4b7abfe1ad30938,3/2/2016,ko,Ko,"iPad3,1",9.1
bb01c997e0504b9d84f8be1c54d1f532,3/2/2016,fi,FI,"iPad3,1",9.2.1
0f8e219a5faf461090ba5ea13339b53a,3/2/2016,en,US,"iPhone5,3",9.2
0fec0f4efaaa4f759ed80b5c83293f82,3/2/2016,en,GB,"iPhone6,2",9.2.1
14fb4ebf75ec4ce387ce7a5aa494858b,3/2/2016,en,ZA,"iPad2,2",7.1.1
efc2ec3fe05341ecb2ad58f010445b4d,3/2/2016,en,US,"iPad4,4",9.2.1
e5f734d0c8174a599a75cda10db071ba,3/2/2016,en,GB,"iPhone7,2",9.2.1
fe5dcca03b0645f0bba1ef861fdaf874,3/2/2016,en,GB,"iPhone4,1",9.2
33693718bf2a4cdfa6ac7cd4ee4e8d37,3/2/2016,en,US,"iPhone4,1",9.3
6135cead9b884e269e6e00d902852fac,3/2/2016,en,US,"iPhone6,1",9.2
db80780a936d4be681d92a7cd77d142a,3/2/2016,en,US,"iPhone8,1",9.2.1
6deaa5ef04c74d99b10577686b85cbac,3/2/2016,en,US,"iPhone8,2",9.2
f79d7a61cb1745a6adc5769cb19bcfd4,3/2/2016,en,US,"iPhone8,1",9.2.1
70dc2158a00f4ca5b04c80c75aee0e79,3/2/2016,en,PH,"iPhone7,2",9.2.1
f38ddb5006104ecb9987abebc813715a,3/2/2016,en,US,"iPhone7,2",8.3
85aee0913ee44f9fb9a5b1f56ecdcda8,3/2/2016,en,US,"iPad4,5",8.4
fb64f3c10ace479b924d926194752d00,3/2/2016,en,US,"iPhone8,1",9.2.1
04be45bd794e444fbd0e8d1955f988d2,3/2/2016,en,US,"iPhone6,1",9.2.1
6b63d2561eba49cd85d80bdd4f629393,3/2/2016,ru,RU,"iPad2,2",8.4
0f537e39c3c34a399a7fadc825214321,3/2/2016,en,US,"iPhone8,1",9.2.1
4e7c01981afd46478fdb06db8eddefec,3/2/2016,en,US,"iPhone8,1",9.2.1
fd0055b3fa6140b9873608e4091df313,3/2/2016,en,US,"iPhone7,2",9.2.1
231c8be35ec54b168f954617d0cc4765,3/2/2016,en,US,"iPhone5,1",9.2.1
3c43b2ec3aa64814963f518b782044a3,3/2/2016,en,AU,"iPhone5,4",8.3
a1c4c3c80f8c48129d75a9a7be4d8444,3/2/2016,en,AU,"iPhone4,1",9.2.1
c0846a4554fa405d80449e5f2d446d6c,3/3/2016,en,SG,"iPhone5,2",9.2.1
d98ec1bffab4453c831177e125d13efa,3/3/2016,it,IT,"iPhone6,2",9.2.1
c0021a42c1ca4d579029d9271518462f,3/3/2016,en,US,"iPad2,1",7.1.2
af5eda5c600d46e4810fb8be1f643804,3/3/2016,tr,TR,"iPhone6,2",9.2.1
212d1f4688a64c49b1be00cc7bd19774,3/3/2016,en,US,"iPhone5,3",7.0.2
1575b1699e1f404899cf4a42dc349864,3/3/2016,en,IN,"iPhone5,2",8.3
cc9d2a023b61421fad1b46c348afe511,3/3/2016,en,US,"iPhone7,2",9.2
4cfaa0a7ad1e40d68ac0d316b134bcd8,3/3/2016,en,PH,"iPhone7,2",9.2.1
72ee0e63655d44bdaabe814ef2b0a131,3/3/2016,en,JO,"iPhone6,2",9.2.1
40fb3876a06d466faa6a94ec9ec4659e,3/3/2016,en,US,"iPad5,3",8.4.1
ce312a77711245e89edce9bb5b3e07cd,3/3/2016,en,US,"iPad4,4",9.1
31562d0d5f9842c797d22b240e43f4e0,3/3/2016,tr,TR,"iPad2,2",8.3
7548545ee005444b9dab9cb365164100,3/3/2016,en,GB,"iPhone8,1",9.2.1
8bb1c965b79e4d82aeae89765967b6c2,3/3/2016,bg,BG,"iPad5,4",8.4.1
9fe5f70ee0764ad9a09e2e6c7e1d8bac,3/3/2016,en,GB,"iPad2,5",9.2.1
cc470e88403d4a85be98a76535c4494c,3/3/2016,sv,SE,"iPhone3,1",7.1.2
a3644601ea0144618d5d8b5d4da1400b,3/3/2016,en,US,"iPhone7,1",9.2.1
c8a96ee296aa48a6be29a59f43b65225,3/3/2016,fr,CH,"iPad5,3",9.2
971b90c814dc41e8834d837dc2188a39,3/3/2016,pt,BR,"iPhone7,1",9.2.1
dd46a59685d5430b94906f04ccd81ac4,3/3/2016,en,IE,"iPod7,1",9.2.1
d37e5cd8499b47cea64a842b5066d0a0,3/3/2016,en,US,"iPhone8,1",9.2.1
b22bc50cf2784d139cf98c5a61ac8028,3/3/2016,en,US,"iPhone6,1",9.2
b7eeb8a40452479e9a59c2ed1be68aea,3/3/2016,en,GB,"iPhone5,4",9.2.1
9929e71de4774b50930d5010a7b6593d,3/3/2016,en,US,"iPhone7,2",9.2
5718d29ac2324fa99ed86b35a6c876a0,3/3/2016,en,US,"iPhone6,1",9.2.1
62b0fc52710846a5828345e23ef9e015,3/3/2016,en,GB,"iPhone5,2",9.2.1
31e3b55000454d37bac76509a7154a28,3/3/2016,en,GB,"iPhone6,2",8.1.3
ce6555a7f7a8494595743ddf187e0f65,3/3/2016,en,US,"iPhone7,1",9.2.1
