udid,lang,country,hw_ver,os_ver,purchased,morning,afternoon,night,weekday,weekend,duration,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,first_week_count,first_week_avg,days_played_firstweek,second_week_count,second_week_avg,days_played_secondweek
490ee7db8f464347a5b6dcb52e2ddce4,en,US,"iPhone7,1",9.2.1,Y,10,5,14,17,12,37,5,4,2,0,0,1,0,1,1,4,0,2,1,0,12,2,4,9,1,5
ab8096116df8429db7ac11bff2dd7618,en,US,"iPhone5,1",9.2.1,N,2,4,23,8,21,2,16,5,8,0,0,0,0,0,0,0,0,0,0,0,29,4,3,0,0,0
8ccb4f0d62794dd589a3a2dd59cb79a0,en,US,"iPhone6,1",9.1,N,7,2,4,0,13,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,13,2,2,0,0,0
edc2a5db1fa44b4ba994c7506c4f645c,it,IT,"iPhone3,1",7.1.2,N,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
14ebc616c7e1465e83955e273ca0bf1e,en,SG,"iPhone6,2",9.2.1,N,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
e2af8f338d8f494d97216ae08a2206b9,en,GB,"iPad2,5",8.3,N,12,3,7,15,7,53,7,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,1,2,0,2
384862a81bd54a4eb75ec80c551f74be,nl,NL,"iPhone7,2",9.2.1,N,142,8,112,191,71,22,21,0,0,0,0,0,0,0,13,45,38,29,31,29,21,3,1,185,26,6
070b795baa224edc84336dd2247beb4b,en,GB,"iPad3,4",9.2.1,N,12,0,4,6,10,19,7,0,0,0,0,0,0,0,2,0,0,2,0,1,7,1,1,5,1,3
f77077c2eae24d69a6b27eaee44699b4,en,GB,"iPhone6,2",9.2.1,N,49,15,21,35,50,57,11,0,2,6,12,4,11,17,0,0,0,0,1,0,46,7,6,18,3,2
34ae05e87eb1430aa8113a9de06c242e,ru,RU,"iPhone6,2",9.1,N,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7f7d11737a1c4cb98664b3708cfd56b4,fr,FR,"iPhone7,2",9.2,N,1,1,1,0,3,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0
66a2a54ff01649bf97231b57d1868384,en,US,"iPhone6,1",9.2.1,N,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0
15a96926e5894889bbde246810fef10d,en,US,"iPhone8,1",9.2.1,N,21,16,0,16,21,42,7,9,1,0,2,0,0,0,0,0,0,0,4,0,19,3,4,4,1,1
053d0741f071454c846a3868bb736bc0,en,US,"iPhone4,1",9.1,N,5,0,0,1,4,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0
d018abcedcf14fc8a285d7b27478d314,en,PH,"iPhone6,2",9.2.1,N,2,2,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0
1cdf0a60488a428f8658844e705c703c,en,US,"iPhone5,3",9.2.1,Y,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
f386942c875d4b598bc5f23bf4b2f017,ja,JP,"iPhone7,2",8.0.2,N,12,0,12,16,8,5,6,7,0,3,8,0,0,0,0,0,0,0,0,0,24,3,4,0,0,0
1da412ddcbcb47ccbcc74c168488d8e7,it,IT,"iPhone5,2",9.2.1,N,14,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,1,0,0,0
8bd1ac765d754a6789c11d8cfdf087bf,hu,HU,"iPhone8,1",9.2.1,N,12,0,0,12,0,3,10,0,0,2,0,0,0,0,0,0,0,0,0,0,12,2,2,0,0,0
6d6dd4da70e44c5ea379c9a3f3b6bea8,en,MY,"iPad4,4",9.2,N,12,15,24,35,16,57,1,6,12,2,3,0,0,0,0,0,0,0,0,0,24,3,5,0,0,0
